State,Total Medicaid Enrollees,Total VIII Group Enrollees,Total VIII Group Newly Eligible Enrollees,Total VIII Group Not Newly Eligible Enrollees,Updated Year,Updated Month,Enrollment Year,Enrollment Month,Notes,Enrollment_Date,Newly_Eligible_Percentage
Totals,83427688,20595681.0,16549728.0,4045953.0,2026,2,2025,5,,2025-05-01,80.35533275156087
Alabama ,1060096,,,,2026,2,2025,6,,2025-06-01,
Alaska ,210365,65471.0,65470.0,1.0,2026,2,2025,6,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015.",2025-06-01,99.99847260619205
Amer. Samoa ,31150,,,,2026,2,2025,6,,2025-06-01,
Arizona ,1932524,509183.0,110315.0,398868.0,2026,2,2025,6,,2025-06-01,21.665098795521452
Arkansas ,802955,233965.0,226416.0,7549.0,2026,2,2025,6,,2025-06-01,96.7734490201526
California ,14750830,5024843.0,5005117.0,19726.0,2026,2,2025,6,,2025-06-01,99.60743052071479
Colorado ,1209801,381904.0,369440.0,12464.0,2026,2,2025,6,,2025-06-01,96.73635259122712
Connecticut ,1059391,314988.0,287714.0,27274.0,2026,2,2025,6,,2025-06-01,91.34125744472806
Delaware ,227223,68377.0,9274.0,59103.0,2026,2,2025,6,,2025-06-01,13.563040203577225
Dist. Of Col. ,261754,119001.0,76533.0,42468.0,2026,2,2025,6,,2025-06-01,64.31290493357199
Florida ,4099189,,,,2026,2,2025,6,,2025-06-01,
Georgia ,1972831,,,,2026,2,2025,6,,2025-06-01,
Guam ,37945,5220.0,,5220.0,2026,2,2025,6,,2025-06-01,
Hawaii ,395710,130685.0,16687.0,113998.0,2026,2,2025,6,,2025-06-01,12.768871714427824
Idaho ,342565,88751.0,88751.0,0.0,2026,2,2025,6,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020.",2025-06-01,100.0
Illinois ,2816066,814097.0,728038.0,86059.0,2026,2,2025,6,,2025-06-01,89.42890097863031
Indiana ,1721774,517848.0,517848.0,0.0,2026,2,2025,6,"Indiana expanded its Medicaid program by adopting the VIII Group on February 1, 2015.",2025-06-01,100.0
Iowa ,597068,179380.0,164488.0,14892.0,2026,2,2025,6,,2025-06-01,91.69807113390569
Kansas ,374764,,,,2026,2,2025,6,,2025-06-01,
Kentucky ,1345767,464026.0,464026.0,0.0,2026,2,2025,6,,2025-06-01,100.0
Louisiana ,1794729,742292.0,507292.0,235000.0,2026,2,2025,6,"Louisiana expanded its Medicaid program by adopting the VIII Group on July 1, 2016.",2025-06-01,68.3412996502724
Maine ,371862,96688.0,77433.0,19255.0,2026,2,2025,6,"Maine Expanded its Medicaid program by adopting the VIII Group on July 1, 2018.",2025-06-01,80.08542942247229
Maryland ,1288374,331544.0,331544.0,0.0,2026,2,2025,6,,2025-06-01,100.0
Massachusetts ,1941740,344092.0,0.0,344092.0,2026,2,2025,6,,2025-06-01,0.0
Michigan ,2337596,716393.0,672044.0,44349.0,2026,2,2025,6,"Michigan expanded its Medicaid program by adopting the VIII Group on April 1, 2014.",2025-06-01,93.80940349780079
Minnesota ,1148946,212268.0,212268.0,0.0,2026,2,2025,6,,2025-06-01,100.0
Mississippi ,649345,,,,2026,2,2025,6,,2025-06-01,
Missouri ,1196085,350174.0,350174.0,0.0,2026,2,2025,6,"Missouri expanded its Medicaid program by adopting the VIII Group on October 1, 2021.",2025-06-01,100.0
Montana ,206486,75318.0,75318.0,0.0,2026,2,2025,6,"Montana expanded its Medicaid program by adopting the VIII Group on January 1, 2016.",2025-06-01,100.0
N. Mariana Islands ,18239,,,,2026,2,2025,6,,2025-06-01,
Nebraska ,337654,69678.0,67384.0,2294.0,2026,2,2025,6,,2025-06-01,96.70771262091334
Nevada ,712569,283845.0,283845.0,0.0,2026,2,2025,6,,2025-06-01,100.0
New Hampshire ,181962,60900.0,59942.0,958.0,2026,2,2025,6,"New Hampshire expanded its Medicaid program by adopting the VIII Group on August 15, 2014.",2025-06-01,98.42692939244664
New Jersey ,1614372,546446.0,546446.0,0.0,2026,2,2025,6,,2025-06-01,100.0
New Mexico ,805358,247310.0,247310.0,0.0,2026,2,2025,6,,2025-06-01,100.0
New York ,6840273,1989558.0,283263.0,1706295.0,2026,2,2025,6,,2025-06-01,14.237483903459964
North Carolina ,3149429,669048.0,669048.0,0.0,2026,2,2025,6,"North Carolina expanded its Medicaid program by adopting the VIII Group on October 1, 2023.",2025-06-01,100.0
North Dakota ,108083,25187.0,23787.0,1400.0,2026,2,2025,6,,2025-06-01,94.44157700401
Ohio ,3002481,705005.0,704821.0,184.0,2026,2,2025,6,,2025-06-01,99.9739008943199
Oklahoma ,979807,239479.0,239479.0,0.0,2026,2,2025,6,"Oklahoma expanded its Medicaid program by adopting the VIII Group on July 1, 2021.",2025-06-01,100.0
Oregon ,1303507,689347.0,573373.0,115974.0,2026,2,2025,6,,2025-06-01,83.17625230834398
