State,"Total Medicaid Enrollees","Total VIII Group Enrollees","Total VIII Group Newly Eligible Enrollees","Total VIII Group Not Newly Eligible Enrollees","Updated Year","Updated Month","Enrollment Year","Enrollment Month",Notes
"South Dakota ",133710,29979.0,29979.0,0.0,2026,2,2025,5,"South Dakota expanded its Medicaid program by adopting the VIII Group on July 1, 2023."
"Tennessee ",1503764,,,,2026,2,2025,5,
"Texas ",4384932,,,,2026,2,2025,5,
"Utah ",339432,83597.0,82430.0,1167.0,2026,2,2025,5,"Utah expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
"Vermont ",165517,62603.0,0.0,62603.0,2026,2,2025,5,
"Virgin Islands ",20692,8024.0,,8024.0,2026,2,2025,5,"The Virgin Islands expanded its Medicaid program by adopting the VIII Group on June 1, 2015."
"Virginia ",1730454,642093.0,642093.0,0.0,2026,2,2025,5,"Virginia expanded its Medicaid program by adopting the VIII Group on January 1, 2019."
"Washington ",1818674,603189.0,578700.0,24489.0,2026,2,2025,5,
"West Virginia ",511558,170716.0,170716.0,0.0,2026,2,2025,5,
"Wisconsin ",1217237,,,,2026,2,2025,5,
"Wyoming ",66503,,,,2026,2,2025,5,
Totals,83427688,20595681.0,16549728.0,4045953.0,2026,2,2025,5,
"Alabama ",1060096,,,,2026,2,2025,6,
"Alaska ",210365,65471.0,65470.0,1.0,2026,2,2025,6,"Alaska expanded its Medicaid program by adopting the VIII Group on September 1, 2015."
"Amer. Samoa ",31150,,,,2026,2,2025,6,
"Arizona ",1932524,509183.0,110315.0,398868.0,2026,2,2025,6,
"Arkansas ",802955,233965.0,226416.0,7549.0,2026,2,2025,6,
"California ",14750830,5024843.0,5005117.0,19726.0,2026,2,2025,6,
"Colorado ",1209801,381904.0,369440.0,12464.0,2026,2,2025,6,
"Connecticut ",1059391,314988.0,287714.0,27274.0,2026,2,2025,6,
"Delaware ",227223,68377.0,9274.0,59103.0,2026,2,2025,6,
"Dist. Of Col. ",261754,119001.0,76533.0,42468.0,2026,2,2025,6,
"Florida ",4099189,,,,2026,2,2025,6,
"Georgia ",1972831,,,,2026,2,2025,6,
"Guam ",37945,5220.0,,5220.0,2026,2,2025,6,
"Hawaii ",395710,130685.0,16687.0,113998.0,2026,2,2025,6,
"Idaho ",342565,88751.0,88751.0,0.0,2026,2,2025,6,"Idaho expanded its Medicaid program by adopting the VIII Group on January 1, 2020."
